codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
Mayoreo:,"NC 2 $2,695 NC 2  NC 2 $705 NC 2","NC 2 $2,695 NC 2  NC 2 $705 NC 2",TRUPER,HERRAMIENTAS,GENERAL,Mayoreo:,Pieza,1050,,1050
1/2,"Mayoreo:  $2,950  $775","Mayoreo:  $2,950  $775",TRUPER,HERRAMIENTAS,GENERAL,1/2,Pieza,1150,,1150
Público:,"$3,250  $845","$3,250  $845",TRUPER,HERRAMIENTAS,GENERAL,Público:,Pieza,1275,,1275
13320,"GRANEU-7/16-19 3/4"" (19 mm)  $93 $102 1","GRANEU-7/16-19 3/4"" (19 mm)  $93 $102 1",TRUPER,HERRAMIENTAS,GENERAL,13320,Pieza,85,,85
13321,"GRANEU-7/16-25 1"" (25 mm)  $98 $109 1","GRANEU-7/16-25 1"" (25 mm)  $98 $109 1",TRUPER,HERRAMIENTAS,GENERAL,13321,Pieza,90,,90
13348,"GRANEU-7/16-45 1 3/4"" (45 mm)  $149 $165","GRANEU-7/16-45 1 3/4"" (45 mm)  $149 $165",TRUPER,HERRAMIENTAS,GENERAL,13348,Pieza,135,,135
13349,"GRANEU-7/16-50 2"" (50 mm)  $185 $199 1","GRANEU-7/16-50 2"" (50 mm)  $185 $199 1",TRUPER,HERRAMIENTAS,GENERAL,13349,Pieza,169,,169
m),$98 $109,$98 $109,TRUPER,HERRAMIENTAS,GENERAL,m),Pieza,90,,90
Mayoreo:,NC 2 $515 NC 2 $515 NC 2 $515 NC 2 $355 NC 2,NC 2 $515 NC 2 $515 NC 2 $515 NC 2 $355 NC 2,TRUPER,HERRAMIENTAS,GENERAL,Mayoreo:,Pieza,1265,,1265
1/2,Mayoreo:  $565 $565 $565 $385,Mayoreo:  $565 $565 $565 $385,TRUPER,HERRAMIENTAS,GENERAL,1/2,Pieza,1385,,1385
Público:,$615 $615 $615 $425,$615 $615 $615 $425,TRUPER,HERRAMIENTAS,GENERAL,Público:,Pieza,1525,,1525
Mayoreo:,NC 2 $355 NC 2 $355 NC 2 $355 NC 2 $355 NC 2 $235 ,NC 2 $355 NC 2 $355 NC 2 $355 NC 2 $355 NC 2 $235 NC 2,TRUPER,HERRAMIENTAS,GENERAL,Mayoreo:,Pieza,1265,,1265
1/2,Mayoreo:  $385 $385 $385 $385 $259,Mayoreo:  $385 $385 $385 $385 $259,TRUPER,HERRAMIENTAS,GENERAL,1/2,Pieza,1385,,1385
Público:,$425 $425 $425 $425 $285,$425 $425 $425 $425 $285,TRUPER,HERRAMIENTAS,GENERAL,Público:,Pieza,1525,,1525
29010,"PIPI-20P $ 1,375  $1,665 1 12V/","PIPI-20P $ 1,375  $1,665 1 12V/",TRUPER,PUBLISERVICIOS,GENERAL,29010,Pieza,1515,,1515
16908,"TAN-PI10 $ 4,350  $5,250 2 3/8"", 4.5 m,","TAN-PI10 $ 4,350  $5,250 2 3/8"", 4.5 m,",TRUPER,INCLUYE: ESPECIFICACIONES:,GENERAL,16908,Pieza,4850,,4850
Público:,$ 102 $ 102 $ 102 $ 102 $ 102 100518 *SN-CU16● $ 1,$ 102 $ 102 $ 102 $ 102 $ 102 100518 *SN-CU16● $ 115  $139 3,TRUPER,INCLUYE: ESPECIFICACIONES:,GENERAL,Público:,Pieza,127,,127
100516,SN-PI20 $ 149  $179 3 100515 SN-KIT3 $ 415 $455 $5,SN-PI20 $ 149  $179 3 100515 SN-KIT3 $ 415 $455 $500 2 102395 NIAZ-50 $ 189 $209 $229 3,TRUPER,INCLUYE: ESPECIFICACIONES:,GENERAL,100516,Pieza,165,,165
