codigo,producto,descripcion,marca,categoria,subcategoria,unidad_medida,precio,precio_mayoreo,precio_menudeo
MAP-00001,Varillas Cruz Azul Único 1,Producto único número 1,Cruz Azul,Materiales Básicos,Varillas,Galón,3148.93,2676.59,3621.27
FER-00002,Amoladoras Black & Decker Único 2,Producto único número 2,Black & Decker,Herramientas Eléctricas,Amoladoras,Caja,795.42,676.11,914.73
MAP-00003,Grava DeAcero Único 3,Producto único número 3,DeAcero,Agregados,Grava,m3,1019.28,866.39,1172.17
FER-00004,Martillos Stanley Único 4,Producto único número 4,Stanley,Herramientas Manuales,Martillos,Galón,3315.99,2818.59,3813.39
FER-00005,Llaves Stanley Único 5,Producto único número 5,Stanley,Herramientas Manuales,Llaves,Saco,4664.22,3964.59,5363.85
FER-00006,Desarmadores Bosch Único 6,Producto único número 6,Bosch,Herramientas Manuales,Desarmadores,m2,4142.36,3521.01,4763.71
FER-00007,Bisagras Bosch Único 7,Producto único número 7,Bosch,Ferretería,Bisagras,Caja,3821.37,3248.16,4394.58
MAP-00008,Arena Holcim Único 8,Producto único número 8,Holcim,Agregados,Arena,Barra,2528.04,2148.83,2907.25
MAP-00009,Blocks Holcim Único 9,Producto único número 9,Holcim,Materiales Básicos,Blocks,Galón,3261.66,2772.41,3750.91
FER-00010,Clavos Bosch Único 10,Producto único número 10,Bosch,Ferretería,Clavos,m2,4701.75,3996.49,5407.01
MAP-00011,Cementos Holcim Único 11,Producto único número 11,Holcim,Materiales Básicos,Cementos,Barra,2636.1,2240.68,3031.51
FLP-00012,Acanaladas AHMSA Único 12,Producto único número 12,AHMSA,Láminas,Acanaladas,m3,4296.27,3651.83,4940.71
FER-00013,Amoladoras Stanley Único 13,Producto único número 13,Stanley,Herramientas Eléctricas,Amoladoras,Barra,1793.2,1524.22,2062.18
FER-00014,Tornillos Black & Decker Único 14,Producto único número 14,Black & Decker,Ferretería,Tornillos,Galón,2373.92,2017.83,2730.01
FLP-00015,Columnas ArcelorMittal Único 15,Producto único número 15,ArcelorMittal,Acero Estructural,Columnas,Metro,4406.7,3745.69,5067.7
MAP-00016,Blocks Holcim Único 16,Producto único número 16,Holcim,Materiales Básicos,Blocks,Kg,2247.51,1910.38,2584.64
MAP-00017,Tepetate Cruz Azul Único 17,Producto único número 17,Cruz Azul,Agregados,Tepetate,Barra,2884.54,2451.86,3317.22
MAP-00018,Tepetate Cemex Único 18,Producto único número 18,Cemex,Agregados,Tepetate,Galón,1867.88,1587.7,2148.06
FLP-00019,Canales AHMSA Único 19,Producto único número 19,AHMSA,Perfiles,Canales,m3,3540.42,3009.36,4071.48
MAP-00020,Azulejos DeAcero Único 20,Producto único número 20,DeAcero,Acabados,Azulejos,Kg,3385.68,2877.83,3893.53
FER-00021,Amoladoras Black & Decker Único 21,Producto único número 21,Black & Decker,Herramientas Eléctricas,Amoladoras,Litro,4309.5,3663.07,4955.92
FER-00022,Bisagras Bosch Único 22,Producto único número 22,Bosch,Ferretería,Bisagras,Kg,322.62,274.23,371.01
FLP-00023,Columnas AHMSA Único 23,Producto único número 23,AHMSA,Acero Estructural,Columnas,Kg,3084.45,2621.78,3547.12
FLP-00024,Vigas ArcelorMittal Único 24,Producto único número 24,ArcelorMittal,Acero Estructural,Vigas,Caja,159.47,135.55,183.39
MAP-00025,Pintura Holcim Único 25,Producto único número 25,Holcim,Acabados,Pintura,Barra,3809.83,3238.36,4381.3
FER-00026,Sierras Makita Único 26,Producto único número 26,Makita,Herramientas Eléctricas,Sierras,m2,1044.64,887.94,1201.34
FER-00027,Desarmadores Makita Único 27,Producto único número 27,Makita,Herramientas Manuales,Desarmadores,Saco,2957.51,2513.88,3401.14
MAP-00028,Tepetate Ternium Único 28,Producto único número 28,Ternium,Agregados,Tepetate,Galón,3205.38,2724.57,3686.19
FER-00029,Martillos Makita Único 29,Producto único número 29,Makita,Herramientas Manuales,Martillos,m3,2343.9,1992.32,2695.48
FLP-00030,Acanaladas ArcelorMittal Único 30,Producto único número 30,ArcelorMittal,Láminas,Acanaladas,m3,2792.05,2373.24,3210.86
FLP-00031,Columnas Nucor Único 31,Producto único número 31,Nucor,Acero Estructural,Columnas,Pieza,1437.78,1222.11,1653.45
FER-00032,Taladros Bosch Único 32,Producto único número 32,Bosch,Herramientas Eléctricas,Taladros,Metro,677.39,575.78,779.0
FLP-00033,Canales AHMSA Único 33,Producto único número 33,AHMSA,Perfiles,Canales,Litro,4354.73,3701.52,5007.94
FER-00034,Amoladoras Makita Único 34,Producto único número 34,Makita,Herramientas Eléctricas,Amoladoras,Litro,3787.12,3219.05,4355.19
FER-00035,Bisagras Bosch Único 35,Producto único número 35,Bosch,Ferretería,Bisagras,Saco,1883.49,1600.97,2166.01
FER-00036,Clavos Makita Único 36,Producto único número 36,Makita,Ferretería,Clavos,Galón,991.17,842.49,1139.85
FER-00037,Clavos Stanley Único 37,Producto único número 37,Stanley,Ferretería,Clavos,m2,1897.69,1613.04,2182.34
FER-00038,Sierras Bosch Único 38,Producto único número 38,Bosch,Herramientas Eléctricas,Sierras,Kg,3902.09,3316.78,4487.4
