codigo,producto,descripcion,marca,categoria,subcategoria,unidad_medida,precio,precio_mayoreo,precio_menudeo
FLP-00001,Soleras Nucor Modelo 1,Producto de alta calidad de la marca Nucor para uso en perfiles,Nucor,Perfiles,Soleras,Pieza,1766.2,1534.85,2147.85
FLP-00002,Canales Ternium Modelo 2,Producto de alta calidad de la marca Ternium para uso en perfiles,Ternium,Perfiles,Canales,Litro,3919.87,3032.69,4302.72
FLP-00003,Galvanizadas AHMSA Modelo 3,Producto de alta calidad de la marca AHMSA para uso en láminas,AHMSA,Láminas,Galvanizadas,Pieza,5916.72,4574.03,7288.44
FLP-00004,Canales Nucor Modelo 4,Producto de alta calidad de la marca Nucor para uso en perfiles,Nucor,Perfiles,Canales,m3,7752.04,6295.94,9541.23
FLP-00005,Columnas Altos Hornos Modelo 5,Producto de alta calidad de la marca Altos Hornos para uso en acero estructural,Altos Hornos,Acero Estructural,Columnas,Litro,5575.46,4662.78,6385.21
FLP-00006,Acanaladas ArcelorMittal Modelo 6,Producto de alta calidad de la marca ArcelorMittal para uso en láminas,ArcelorMittal,Láminas,Acanaladas,Kg,2759.61,2128.39,3433.09
FLP-00007,Canales ArcelorMittal Modelo 7,Producto de alta calidad de la marca ArcelorMittal para uso en perfiles,ArcelorMittal,Perfiles,Canales,Barra,2616.95,2324.88,3257.61
FLP-00008,Canales ArcelorMittal Modelo 8,Producto de alta calidad de la marca ArcelorMittal para uso en perfiles,ArcelorMittal,Perfiles,Canales,m3,1106.44,937.93,1328.95
FLP-00009,Ángulos Altos Hornos Modelo 9,Producto de alta calidad de la marca Altos Hornos para uso en acero estructural,Altos Hornos,Acero Estructural,Ángulos,Litro,7052.61,5999.57,8286.25
FLP-00010,Canales AHMSA Modelo 10,Producto de alta calidad de la marca AHMSA para uso en perfiles,AHMSA,Perfiles,Canales,Kg,6468.91,4856.96,8012.55
FLP-00011,Negras Altos Hornos Modelo 11,Producto de alta calidad de la marca Altos Hornos para uso en láminas,Altos Hornos,Láminas,Negras,Saco,866.73,658.97,1020.46
FLP-00012,Galvanizadas Altos Hornos Modelo 12,Producto de alta calidad de la marca Altos Hornos para uso en láminas,Altos Hornos,Láminas,Galvanizadas,Metro,1750.78,1438.46,2100.73
FLP-00013,Soleras Nucor Modelo 13,Producto de alta calidad de la marca Nucor para uso en perfiles,Nucor,Perfiles,Soleras,Barra,4279.9,3611.59,5086.01
FLP-00014,Columnas Altos Hornos Modelo 14,Producto de alta calidad de la marca Altos Hornos para uso en acero estructural,Altos Hornos,Acero Estructural,Columnas,Galón,2671.74,2150.14,2948.78
FLP-00015,Canales Altos Hornos Modelo 15,Producto de alta calidad de la marca Altos Hornos para uso en perfiles,Altos Hornos,Perfiles,Canales,Kg,750.53,585.24,911.82
FLP-00016,Acanaladas ArcelorMittal Modelo 16,Producto de alta calidad de la marca ArcelorMittal para uso en láminas,ArcelorMittal,Láminas,Acanaladas,Saco,3711.5,3017.54,4380.28
FLP-00017,Soleras ArcelorMittal Modelo 17,Producto de alta calidad de la marca ArcelorMittal para uso en perfiles,ArcelorMittal,Perfiles,Soleras,Caja,4720.26,3949.72,5363.04
FLP-00018,Ángulos Nucor Modelo 18,Producto de alta calidad de la marca Nucor para uso en acero estructural,Nucor,Acero Estructural,Ángulos,m3,3843.22,3027.52,4597.38
FLP-00019,Vigas AHMSA Modelo 19,Producto de alta calidad de la marca AHMSA para uso en acero estructural,AHMSA,Acero Estructural,Vigas,Caja,1163.63,952.88,1356.97
FLP-00020,Columnas AHMSA Modelo 20,Producto de alta calidad de la marca AHMSA para uso en acero estructural,AHMSA,Acero Estructural,Columnas,Pieza,7980.96,6803.28,8898.17
FLP-00021,Acanaladas ArcelorMittal Modelo 21,Producto de alta calidad de la marca ArcelorMittal para uso en láminas,ArcelorMittal,Láminas,Acanaladas,m3,418.39,320.41,466.57
FLP-00022,Vigas AHMSA Modelo 22,Producto de alta calidad de la marca AHMSA para uso en acero estructural,AHMSA,Acero Estructural,Vigas,m3,230.47,185.17,285.22
FLP-00023,Negras Altos Hornos Modelo 23,Producto de alta calidad de la marca Altos Hornos para uso en láminas,Altos Hornos,Láminas,Negras,Metro,1853.66,1659.74,2316.48
FLP-00024,Soleras AHMSA Modelo 24,Producto de alta calidad de la marca AHMSA para uso en perfiles,AHMSA,Perfiles,Soleras,Metro,7334.05,6302.62,8978.29
FLP-00025,Negras Nucor Modelo 25,Producto de alta calidad de la marca Nucor para uso en láminas,Nucor,Láminas,Negras,Metro,5789.29,4738.53,6316.94
FLP-00026,Canales ArcelorMittal Modelo 26,Producto de alta calidad de la marca ArcelorMittal para uso en perfiles,ArcelorMittal,Perfiles,Canales,m3,5357.69,4352.74,5749.22
FLP-00027,Soleras ArcelorMittal Modelo 27,Producto de alta calidad de la marca ArcelorMittal para uso en perfiles,ArcelorMittal,Perfiles,Soleras,Kg,139.4,116.09,171.45
FLP-00028,Negras ArcelorMittal Modelo 28,Producto de alta calidad de la marca ArcelorMittal para uso en láminas,ArcelorMittal,Láminas,Negras,Caja,3260.81,2688.48,3913.57
FLP-00029,Soleras AHMSA Modelo 29,Producto de alta calidad de la marca AHMSA para uso en perfiles,AHMSA,Perfiles,Soleras,Kg,7650.9,6185.56,9245.95
FLP-00030,Canales Ternium Modelo 30,Producto de alta calidad de la marca Ternium para uso en perfiles,Ternium,Perfiles,Canales,Galón,860.89,751.46,935.18
FLP-00031,Negras Altos Hornos Modelo 31,Producto de alta calidad de la marca Altos Hornos para uso en láminas,Altos Hornos,Láminas,Negras,Saco,5288.6,3987.5,6144.33
FLP-00032,Acanaladas Nucor Modelo 32,Producto de alta calidad de la marca Nucor para uso en láminas,Nucor,Láminas,Acanaladas,Litro,5910.81,4499.02,6562.15
FLP-00033,Soleras AHMSA Modelo 33,Producto de alta calidad de la marca AHMSA para uso en perfiles,AHMSA,Perfiles,Soleras,m3,63.73,53.85,79.46
FLP-00034,Columnas Ternium Modelo 34,Producto de alta calidad de la marca Ternium para uso en acero estructural,Ternium,Acero Estructural,Columnas,Saco,1773.32,1442.72,2140.65
FLP-00035,Soleras Nucor Modelo 35,Producto de alta calidad de la marca Nucor para uso en perfiles,Nucor,Perfiles,Soleras,Pieza,3460.97,2666.37,3982.82
FLP-00036,Soleras AHMSA Modelo 36,Producto de alta calidad de la marca AHMSA para uso en perfiles,AHMSA,Perfiles,Soleras,Litro,1498.72,1181.93,1595.05
FLP-00037,Canales Altos Hornos Modelo 37,Producto de alta calidad de la marca Altos Hornos para uso en perfiles,Altos Hornos,Perfiles,Canales,Galón,6646.42,5141.71,7568.66
FLP-00038,PTR Nucor Modelo 38,Producto de alta calidad de la marca Nucor para uso en perfiles,Nucor,Perfiles,PTR,Litro,4001.25,3208.84,4546.65
FLP-00039,Canales Ternium Modelo 39,Producto de alta calidad de la marca Ternium para uso en perfiles,Ternium,Perfiles,Canales,m2,790.42,689.14,928.14
FLP-00040,Negras ArcelorMittal Modelo 40,Producto de alta calidad de la marca ArcelorMittal para uso en láminas,ArcelorMittal,Láminas,Negras,Litro,4007.69,3086.79,4508.12
FLP-00041,Columnas AHMSA Modelo 41,Producto de alta calidad de la marca AHMSA para uso en acero estructural,AHMSA,Acero Estructural,Columnas,Litro,3441.85,2866.73,4105.96
FLP-00042,Ángulos ArcelorMittal Modelo 42,Producto de alta calidad de la marca ArcelorMittal para uso en acero estructural,ArcelorMittal,Acero Estructural,Ángulos,m3,2461.77,2046.76,2848.33
