codigo,producto,descripcion,marca,categoria,subcategoria,unidad_medida,precio,precio_mayoreo,precio_menudeo
FER-00001,Desarmadores Bosch Modelo 1,Producto de alta calidad de la marca Bosch para uso en herramientas manuales,Bosch,Herramientas Manuales,Desarmadores,Barra,5731.4,5144.31,6041.96
FER-00002,Tornillos Makita Modelo 2,Producto de alta calidad de la marca Makita para uso en ferretería,Makita,Ferretería,Tornillos,Litro,3072.09,2498.1,3256.38
FER-00003,Amoladoras Bosch Modelo 3,Producto de alta calidad de la marca Bosch para uso en herramientas eléctricas,Bosch,Herramientas Eléctricas,Amoladoras,Saco,2617.24,2191.5,3162.83
FER-00004,Amoladoras DeWalt Modelo 4,Producto de alta calidad de la marca DeWalt para uso en herramientas eléctricas,DeWalt,Herramientas Eléctricas,Amoladoras,Kg,6326.58,5143.13,6864.87
FER-00005,Lijadoras Makita Modelo 5,Producto de alta calidad de la marca Makita para uso en herramientas eléctricas,Makita,Herramientas Eléctricas,Lijadoras,Galón,2520.51,1941.85,2765.45
FER-00006,Taladros DeWalt Modelo 6,Producto de alta calidad de la marca DeWalt para uso en herramientas eléctricas,DeWalt,Herramientas Eléctricas,Taladros,m3,6250.97,5441.4,7466.54
FER-00007,Amoladoras Makita Modelo 7,Producto de alta calidad de la marca Makita para uso en herramientas eléctricas,Makita,Herramientas Eléctricas,Amoladoras,Barra,5308.76,4776.89,6290.51
FER-00008,Bisagras Black & Decker Modelo 8,Producto de alta calidad de la marca Black & Decker para uso en ferretería,Black & Decker,Ferretería,Bisagras,m3,4211.67,3482.34,5041.43
FER-00009,Bisagras Bosch Modelo 9,Producto de alta calidad de la marca Bosch para uso en ferretería,Bosch,Ferretería,Bisagras,Metro,7632.69,5997.5,8061.84
FER-00010,Llaves Black & Decker Modelo 10,Producto de alta calidad de la marca Black & Decker para uso en herramientas manuales,Black & Decker,Herramientas Manuales,Llaves,Pieza,4087.29,3201.0,5080.35
FER-00011,Lijadoras Stanley Modelo 11,Producto de alta calidad de la marca Stanley para uso en herramientas eléctricas,Stanley,Herramientas Eléctricas,Lijadoras,Caja,5261.05,3966.1,5700.22
FER-00012,Tornillos Makita Modelo 12,Producto de alta calidad de la marca Makita para uso en ferretería,Makita,Ferretería,Tornillos,Caja,7767.99,6810.48,8577.43
FER-00013,Amoladoras DeWalt Modelo 13,Producto de alta calidad de la marca DeWalt para uso en herramientas eléctricas,DeWalt,Herramientas Eléctricas,Amoladoras,Metro,3756.06,3254.52,4314.24
FER-00014,Amoladoras Stanley Modelo 14,Producto de alta calidad de la marca Stanley para uso en herramientas eléctricas,Stanley,Herramientas Eléctricas,Amoladoras,Metro,2425.71,2156.54,2755.33
FER-00015,Martillos Makita Modelo 15,Producto de alta calidad de la marca Makita para uso en herramientas manuales,Makita,Herramientas Manuales,Martillos,Caja,2447.0,1937.21,2690.67
FER-00016,Sierras Black & Decker Modelo 16,Producto de alta calidad de la marca Black & Decker para uso en herramientas eléctricas,Black & Decker,Herramientas Eléctricas,Sierras,Metro,7273.94,5518.99,8126.27
FER-00017,Llaves Black & Decker Modelo 17,Producto de alta calidad de la marca Black & Decker para uso en herramientas manuales,Black & Decker,Herramientas Manuales,Llaves,m2,411.11,346.33,472.37
