codigo,producto,descripcion,marca,categoria,subcategoria,unidad_medida,precio,precio_mayoreo,precio_menudeo
FLP-00001,Canales ArcelorMittal Modelo 1,Producto de prueba número 1,ArcelorMittal,Perfiles,Canales,Kg,5902.0,4860.38,7246.39
FLP-00002,Producto con precio negativo 2,Producto de prueba número 2,Altos Hornos,Acero Estructural,Ángulos,Litro,-113.26672051725771,-99.74344403629415,-15.808145739380894
FLP-00003,,Producto de prueba número 3,Altos Hornos,Láminas,Negras,Metro,5979.14,5087.18,7174.83
FLP-00004,,Producto de prueba número 4,Altos Hornos,Acero Estructural,Columnas,Metro,7779.78,5964.58,8849.22
FLP-00005,Galvanizadas ArcelorMittal Modelo 5,Producto de prueba número 5,ArcelorMittal,Láminas,Galvanizadas,m2,5385.31,4582.59,6129.23
FLP-00006,Producto con precio inválido 6,Producto de prueba número 6,Nucor,Láminas,Acanaladas,Metro,precio_invalido,no_numerico,abc123
FLP-00007,Producto con precio negativo 7,Producto de prueba número 7,ArcelorMittal,Láminas,Acanaladas,m3,-238.61273722136764,-77.88192258863768,-78.9445408096751
FLP-00001,Producto duplicado 8,Producto de prueba número 8,Nucor,Láminas,Galvanizadas,Kg,3352.9,2553.37,3966.51
FLP-00009,Producto con precio inválido 9,Producto de prueba número 9,AHMSA,Acero Estructural,Vigas,Kg,precio_invalido,no_numerico,abc123
FLP-00010,Acanaladas Altos Hornos Modelo 10,Producto de prueba número 10,Altos Hornos,Láminas,Acanaladas,Litro,6990.1,5400.18,7714.1
FLP-00001,Producto duplicado 11,Producto de prueba número 11,AHMSA,Láminas,Negras,Pieza,674.68,591.24,802.75
FLP-00012,Producto con precio inválido 12,Producto de prueba número 12,Nucor,Acero Estructural,Vigas,Litro,precio_invalido,no_numerico,abc123
FLP-00001,Producto duplicado 13,Producto de prueba número 13,Ternium,Láminas,Acanaladas,Saco,4586.37,3532.43,5577.59
FLP-00001,Producto duplicado 14,Producto de prueba número 14,Altos Hornos,Perfiles,Canales,Galón,4826.41,4300.76,5165.45
FLP-00015,,Producto de prueba número 15,Nucor,Láminas,Negras,Kg,6864.03,5969.19,7441.01
