codigo,producto,descripcion,marca,categoria,subcategoria,unidad_medida,precio,precio_mayoreo,precio_menudeo
FER-000001,Taladros Makita Serie 1,"Producto industrial Makita especializado en herramientas eléctricas, modelo avanzado con características premium para uso profesional",Makita,Herramientas Eléctricas,Taladros,Galón,3126.2,2631.44,3498.24
FLP-000001,Acanaladas Altos Hornos Serie 1,"Producto industrial Altos Hornos especializado en láminas, modelo avanzado con características premium para uso profesional",Altos Hornos,Láminas,Acanaladas,m2,643.33,544.91,719.63
MAP-000001,Pisos Cruz Azul Serie 1,"Producto industrial Cruz Azul especializado en acabados, modelo avanzado con características premium para uso profesional",Cruz Azul,Acabados,Pisos,Metro,6155.22,4315.95,6670.56
FER-000002,Llaves Black & Decker Serie 2,"Producto industrial Black & Decker especializado en herramientas manuales, modelo avanzado con características premium para uso profesional",Black & Decker,Herramientas Manuales,Llaves,Kg,339.82,259.48,369.9
FLP-000002,Canales AHMSA Serie 2,"Producto industrial AHMSA especializado en perfiles, modelo avanzado con características premium para uso profesional",AHMSA,Perfiles,Canales,Litro,14589.85,11589.49,15942.71
MAP-000002,Tepetate Ternium Serie 2,"Producto industrial Ternium especializado en agregados, modelo avanzado con características premium para uso profesional",Ternium,Agregados,Tepetate,Barra,55.95,48.37,71.28
FER-000003,Sierras Bosch Serie 3,"Producto industrial Bosch especializado en herramientas eléctricas, modelo avanzado con características premium para uso profesional",Bosch,Herramientas Eléctricas,Sierras,Metro,12807.39,9817.47,14954.89
FLP-000003,Acanaladas Ternium Serie 3,"Producto industrial Ternium especializado en láminas, modelo avanzado con características premium para uso profesional",Ternium,Láminas,Acanaladas,Barra,11781.0,8577.38,14535.08
MAP-000003,Blocks Holcim Serie 3,"Producto industrial Holcim especializado en materiales básicos, modelo avanzado con características premium para uso profesional",Holcim,Materiales Básicos,Blocks,Caja,13756.02,11245.7,15265.69
FER-000004,Amoladoras Bosch Serie 4,"Producto industrial Bosch especializado en herramientas eléctricas, modelo avanzado con características premium para uso profesional",Bosch,Herramientas Eléctricas,Amoladoras,m2,14926.15,11464.39,17682.66
FLP-000004,Canales ArcelorMittal Serie 4,"Producto industrial ArcelorMittal especializado en perfiles, modelo avanzado con características premium para uso profesional",ArcelorMittal,Perfiles,Canales,Saco,5989.4,4638.58,7160.01
MAP-000004,Tepetate DeAcero Serie 4,"Producto industrial DeAcero especializado en agregados, modelo avanzado con características premium para uso profesional",DeAcero,Agregados,Tepetate,Pieza,3797.56,2789.13,4277.05
FER-000005,Tornillos DeWalt Serie 5,"Producto industrial DeWalt especializado en ferretería, modelo avanzado con características premium para uso profesional",DeWalt,Ferretería,Tornillos,Barra,10012.12,8688.03,12735.71
FLP-000005,Negras Altos Hornos Serie 5,"Producto industrial Altos Hornos especializado en láminas, modelo avanzado con características premium para uso profesional",Altos Hornos,Láminas,Negras,Saco,8445.09,6370.01,10488.24
MAP-000005,Cementos Cemex Serie 5,"Producto industrial Cemex especializado en materiales básicos, modelo avanzado con características premium para uso profesional",Cemex,Materiales Básicos,Cementos,Galón,8725.6,6499.05,9467.64
FER-000006,Taladros Stanley Serie 6,"Producto industrial Stanley especializado en herramientas eléctricas, modelo avanzado con características premium para uso profesional",Stanley,Herramientas Eléctricas,Taladros,Saco,5768.86,4946.38,6310.9
FLP-000006,Galvanizadas Nucor Serie 6,"Producto industrial Nucor especializado en láminas, modelo avanzado con características premium para uso profesional",Nucor,Láminas,Galvanizadas,Litro,950.15,765.66,1180.45
MAP-000006,Grava DeAcero Serie 6,"Producto industrial DeAcero especializado en agregados, modelo avanzado con características premium para uso profesional",DeAcero,Agregados,Grava,Kg,9544.69,7296.24,12061.1
FER-000007,Sierras Black & Decker Serie 7,"Producto industrial Black & Decker especializado en herramientas eléctricas, modelo avanzado con características premium para uso profesional",Black & Decker,Herramientas Eléctricas,Sierras,Kg,10511.35,9028.45,12708.15
FLP-000007,PTR Altos Hornos Serie 7,"Producto industrial Altos Hornos especializado en perfiles, modelo avanzado con características premium para uso profesional",Altos Hornos,Perfiles,PTR,Galón,2588.89,1854.14,3034.0
MAP-000007,Azulejos Cemex Serie 7,"Producto industrial Cemex especializado en acabados, modelo avanzado con características premium para uso profesional",Cemex,Acabados,Azulejos,Litro,3643.73,2757.54,4423.37
FER-000008,Bisagras Black & Decker Serie 8,"Producto industrial Black & Decker especializado en ferretería, modelo avanzado con características premium para uso profesional",Black & Decker,Ferretería,Bisagras,Pieza,7651.47,6234.32,8506.87
FLP-000008,Vigas ArcelorMittal Serie 8,"Producto industrial ArcelorMittal especializado en acero estructural, modelo avanzado con características premium para uso profesional",ArcelorMittal,Acero Estructural,Vigas,Caja,7567.06,6545.96,8518.64
MAP-000008,Pisos Ternium Serie 8,"Producto industrial Ternium especializado en acabados, modelo avanzado con características premium para uso profesional",Ternium,Acabados,Pisos,Litro,1112.39,976.29,1238.0
FER-000009,Desarmadores Makita Serie 9,"Producto industrial Makita especializado en herramientas manuales, modelo avanzado con características premium para uso profesional",Makita,Herramientas Manuales,Desarmadores,Caja,928.21,776.93,1157.71
FLP-000009,Negras Ternium Serie 9,"Producto industrial Ternium especializado en láminas, modelo avanzado con características premium para uso profesional",Ternium,Láminas,Negras,m2,7172.96,6069.41,8373.04
MAP-000009,Pisos Cemex Serie 9,"Producto industrial Cemex especializado en acabados, modelo avanzado con características premium para uso profesional",Cemex,Acabados,Pisos,Metro,6063.85,4625.2,7339.45
FER-000010,Bisagras Makita Serie 10,"Producto industrial Makita especializado en ferretería, modelo avanzado con características premium para uso profesional",Makita,Ferretería,Bisagras,Kg,6547.92,4623.81,7920.6
FLP-000010,Canales Nucor Serie 10,"Producto industrial Nucor especializado en perfiles, modelo avanzado con características premium para uso profesional",Nucor,Perfiles,Canales,m3,11006.15,8642.56,13819.21
MAP-000010,Grava Cemex Serie 10,"Producto industrial Cemex especializado en agregados, modelo avanzado con características premium para uso profesional",Cemex,Agregados,Grava,Caja,13018.05,10301.96,14592.05
FER-000011,Desarmadores Black & Decker Serie 11,"Producto industrial Black & Decker especializado en herramientas manuales, modelo avanzado con características premium para uso profesional",Black & Decker,Herramientas Manuales,Desarmadores,Saco,9533.67,7017.68,11646.21
FLP-000011,Ángulos Altos Hornos Serie 11,"Producto industrial Altos Hornos especializado en acero estructural, modelo avanzado con características premium para uso profesional",Altos Hornos,Acero Estructural,Ángulos,Caja,9902.63,6992.42,11478.51
MAP-000011,Grava Holcim Serie 11,"Producto industrial Holcim especializado en agregados, modelo avanzado con características premium para uso profesional",Holcim,Agregados,Grava,Galón,2841.98,2193.91,3246.44
FER-000012,Desarmadores DeWalt Serie 12,"Producto industrial DeWalt especializado en herramientas manuales, modelo avanzado con características premium para uso profesional",DeWalt,Herramientas Manuales,Desarmadores,Galón,10234.18,8501.31,12158.49
FLP-000012,Canales ArcelorMittal Serie 12,"Producto industrial ArcelorMittal especializado en perfiles, modelo avanzado con características premium para uso profesional",ArcelorMittal,Perfiles,Canales,Metro,13589.86,10357.18,17082.74
MAP-000012,Arena Cruz Azul Serie 12,"Producto industrial Cruz Azul especializado en agregados, modelo avanzado con características premium para uso profesional",Cruz Azul,Agregados,Arena,Caja,8918.84,7318.23,9852.39
FER-000013,Lijadoras Bosch Serie 13,"Producto industrial Bosch especializado en herramientas eléctricas, modelo avanzado con características premium para uso profesional",Bosch,Herramientas Eléctricas,Lijadoras,m2,1900.14,1440.92,2315.49
FLP-000013,PTR Nucor Serie 13,"Producto industrial Nucor especializado en perfiles, modelo avanzado con características premium para uso profesional",Nucor,Perfiles,PTR,Metro,10913.41,8140.87,12305.45
MAP-000013,Grava Holcim Serie 13,"Producto industrial Holcim especializado en agregados, modelo avanzado con características premium para uso profesional",Holcim,Agregados,Grava,Kg,13346.27,9534.13,16175.81
FER-000014,Clavos Bosch Serie 14,"Producto industrial Bosch especializado en ferretería, modelo avanzado con características premium para uso profesional",Bosch,Ferretería,Clavos,Caja,6935.15,5502.53,7825.16
FLP-000014,Soleras ArcelorMittal Serie 14,"Producto industrial ArcelorMittal especializado en perfiles, modelo avanzado con características premium para uso profesional",ArcelorMittal,Perfiles,Soleras,m3,6441.91,5611.39,7461.68
MAP-000014,Arena Ternium Serie 14,"Producto industrial Ternium especializado en agregados, modelo avanzado con características premium para uso profesional",Ternium,Agregados,Arena,Galón,638.68,515.22,697.49
FER-000015,Tornillos Black & Decker Serie 15,"Producto industrial Black & Decker especializado en ferretería, modelo avanzado con características premium para uso profesional",Black & Decker,Ferretería,Tornillos,m3,14284.68,11752.97,16893.32
FLP-000015,Acanaladas ArcelorMittal Serie 15,"Producto industrial ArcelorMittal especializado en láminas, modelo avanzado con características premium para uso profesional",ArcelorMittal,Láminas,Acanaladas,Galón,14897.69,12744.33,17240.71
