codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
MAR-16G,Martillo de Garra 16 oz,Martillo de garra 16 oz mango de fibra de vidrio antideslizante,TRUPER,HERRAMIENTAS,MARTILLOS,MAR-16G,Pieza,289.99,260.99,318.99
DES-PH2-6,Desarmador Phillips #2,Desarmador Phillips #2 x 6 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PH2-6,Pieza,45.50,40.95,50.05
LLE-12P,Llave Española 12mm,Llave española 12mm acero cromo vanadio pulido espejo,TRUPER,HERRAMIENTAS,LLAVES,LLE-12P,Pieza,85.00,76.50,93.50
ALI-8P,"Alicate de Punta 8""",Alicate de punta 8 pulgadas aislado mango ergonómico,TRUPER,HERRAMIENTAS,ALICATES,ALI-8P,Pieza,125.99,113.39,138.59
SIE-24D,Sierra para Metal 24 TPI,Sierra para metal 24 dientes por pulgada marco ajustable,TRUPER,HERRAMIENTAS,SIERRAS,SIE-24D,Pieza,199.00,179.10,218.90
BRO-HSS-6.5,Broca HSS 6.5mm,Broca para metal HSS 6.5mm alta velocidad rectificada,TRUPER,HERRAMIENTAS,BROCAS,BRO-HSS-6.5,Pieza,32.50,29.25,35.75
NIV-40CM,Nivel de Aluminio 40cm,Nivel de aluminio 40cm 3 burbujas precisión ±0.5mm/m,TRUPER,HERRAMIENTAS,NIVELES,NIV-40CM,Pieza,156.00,140.40,171.60
MET-5M,Metro 5 metros,Cinta métrica 5 metros carcasa ABS freno automático,TRUPER,HERRAMIENTAS,CINTAS,MET-5M,Pieza,89.99,80.99,98.99
CUT-18MM,Cutter 18mm,Cutter profesional 18mm cuchilla retráctil mango antideslizante,TRUPER,HERRAMIENTAS,CUCHILLOS,CUT-18MM,Pieza,67.50,60.75,74.25
TOR-T25,Desarmador Torx T25,Desarmador Torx T25 x 100mm punta magnética mango bimateria,TRUPER,HERRAMIENTAS,DESARMADORES,TOR-T25,Pieza,52.00,46.80,57.20
JAR0101,Herramienta Jardin 1,Herramienta profesional para jardin de alta calidad,TRUPER,HERRAMIENTAS,JARDIN,JAR0101,Pieza,128.70,115.83,141.57
JAR0102,Herramienta Jardin 2,Herramienta profesional para jardin de alta calidad,TRUPER,HERRAMIENTAS,JARDIN,JAR0102,Pieza,246.01,221.41,270.61
JAR0103,Herramienta Jardin 3,Herramienta profesional para jardin de alta calidad,TRUPER,HERRAMIENTAS,JARDIN,JAR0103,Pieza,223.87,201.48,246.25
JAR0104,Herramienta Jardin 4,Herramienta profesional para jardin de alta calidad,TRUPER,HERRAMIENTAS,JARDIN,JAR0104,Pieza,350.99,315.89,386.09
JAR0105,Herramienta Jardin 5,Herramienta profesional para jardin de alta calidad,TRUPER,HERRAMIENTAS,JARDIN,JAR0105,Pieza,144.95,130.46,159.45
ELE0201,Herramienta Electrica 1,Herramienta profesional para electrica de alta calidad,TRUPER,HERRAMIENTAS,ELECTRICA,ELE0201,Pieza,410.21,369.19,451.23
ELE0202,Herramienta Electrica 2,Herramienta profesional para electrica de alta calidad,TRUPER,HERRAMIENTAS,ELECTRICA,ELE0202,Pieza,367.67,330.91,404.44
ELE0203,Herramienta Electrica 3,Herramienta profesional para electrica de alta calidad,TRUPER,HERRAMIENTAS,ELECTRICA,ELE0203,Pieza,295.43,265.88,324.97
ELE0204,Herramienta Electrica 4,Herramienta profesional para electrica de alta calidad,TRUPER,HERRAMIENTAS,ELECTRICA,ELE0204,Pieza,465.38,418.84,511.92
ELE0205,Herramienta Electrica 5,Herramienta profesional para electrica de alta calidad,TRUPER,HERRAMIENTAS,ELECTRICA,ELE0205,Pieza,212.90,191.61,234.19
PLO0301,Herramienta Plomeria 1,Herramienta profesional para plomeria de alta calidad,TRUPER,HERRAMIENTAS,PLOMERIA,PLO0301,Pieza,481.72,433.55,529.89
PLO0302,Herramienta Plomeria 2,Herramienta profesional para plomeria de alta calidad,TRUPER,HERRAMIENTAS,PLOMERIA,PLO0302,Pieza,247.90,223.11,272.69
PLO0303,Herramienta Plomeria 3,Herramienta profesional para plomeria de alta calidad,TRUPER,HERRAMIENTAS,PLOMERIA,PLO0303,Pieza,222.60,200.34,244.86
PLO0304,Herramienta Plomeria 4,Herramienta profesional para plomeria de alta calidad,TRUPER,HERRAMIENTAS,PLOMERIA,PLO0304,Pieza,165.46,148.92,182.01
PLO0305,Herramienta Plomeria 5,Herramienta profesional para plomeria de alta calidad,TRUPER,HERRAMIENTAS,PLOMERIA,PLO0305,Pieza,78.84,70.96,86.72
CAR0401,Herramienta Carpinteria 1,Herramienta profesional para carpinteria de alta calidad,TRUPER,HERRAMIENTAS,CARPINTERIA,CAR0401,Pieza,92.39,83.15,101.63
CAR0402,Herramienta Carpinteria 2,Herramienta profesional para carpinteria de alta calidad,TRUPER,HERRAMIENTAS,CARPINTERIA,CAR0402,Pieza,106.06,95.45,116.67
CAR0403,Herramienta Carpinteria 3,Herramienta profesional para carpinteria de alta calidad,TRUPER,HERRAMIENTAS,CARPINTERIA,CAR0403,Pieza,378.46,340.61,416.30
CAR0404,Herramienta Carpinteria 4,Herramienta profesional para carpinteria de alta calidad,TRUPER,HERRAMIENTAS,CARPINTERIA,CAR0404,Pieza,402.99,362.69,443.29
CAR0405,Herramienta Carpinteria 5,Herramienta profesional para carpinteria de alta calidad,TRUPER,HERRAMIENTAS,CARPINTERIA,CAR0405,Pieza,129.67,116.70,142.64
