codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
CMX-CEM-CPC30R,Cemento CPC 30R 50kg,Cemento Portland Compuesto CPC 30R resistencia normal,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-CEM-CPC30R,Bulto,185.00,170.20,199.80
CMX-CEM-CPC30RS,Cemento CPC 30R RS 50kg,Cemento Portland Compuesto CPC 30R resistente a sulfatos,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-CEM-CPC30RS,Bulto,195.00,179.40,210.60
CMX-CEM-CPC40,Cemento CPC 40 50kg,Cemento Portland Compuesto CPC 40 alta resistencia,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-CEM-CPC40,Bulto,205.00,188.60,221.40
CMX-CON-PREM-200,Concreto Premezclado f'c=200,Concreto premezclado f'c=200 kg/cm2 por m3,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-CON-PREM-200,Bulto,1850.00,1702.00,1998.00
CMX-CON-PREM-250,Concreto Premezclado f'c=250,Concreto premezclado f'c=250 kg/cm2 por m3,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-CON-PREM-250,Bulto,1950.00,1794.00,2106.00
CMX-CON-PREM-300,Concreto Premezclado f'c=300,Concreto premezclado f'c=300 kg/cm2 por m3,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-CON-PREM-300,Bulto,2050.00,1886.00,2214.00
CMX-MOR-PEG,Mortero Pegablock 40kg,Mortero adhesivo para pegar block 40kg,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-MOR-PEG,Bulto,165.00,151.80,178.20
CMX-MOR-REP,Mortero Repello 40kg,Mortero para repello y aplanados 40kg,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-MOR-REP,Bulto,155.00,142.60,167.40
CMX-GRA-3/8,"Grava 3/8"" m3",Grava triturada 3/8 pulgada por metro cúbico,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-GRA-3/8,m3,365.00,335.80,394.20
CMX-GRA-3/4,"Grava 3/4"" m3",Grava triturada 3/4 pulgada por metro cúbico,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-GRA-3/4,m3,385.00,354.20,415.80
CMX-ARE-RIO,Arena de Río m3,Arena de río cribada para concreto por metro cúbico,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-ARE-RIO,m3,320.00,294.40,345.60
CMX-ARE-TEP,Arena Tepetatosa m3,Arena tepetatosa para rellenos por metro cúbico,CEMEX,CONSTRUCCION,CEMENTO_CONCRETO,CMX-ARE-TEP,m3,280.00,257.60,302.40
