codigo,producto,descripcion,marca,categoria,subcategoria,unidad_medida,precio,precio_mayoreo,precio_menudeo
MAP-00001,Azulejos Holcim Modelo 1,Producto de alta calidad de la marca Holcim para uso en acabados,Holcim,Acabados,Azulejos,Barra,7020.55,5911.63,8237.21
MAP-00002,Pisos Ternium Modelo 2,Producto de alta calidad de la marca Ternium para uso en acabados,Ternium,Acabados,Pisos,Litro,1364.51,1038.07,1542.65
MAP-00003,Blocks Cemex Modelo 3,Producto de alta calidad de la marca Cemex para uso en materiales básicos,Cemex,Materiales Básicos,Blocks,Galón,773.82,691.4,854.56
MAP-00004,Pisos DeAcero Modelo 4,Producto de alta calidad de la marca DeAcero para uso en acabados,DeAcero,Acabados,Pisos,Metro,2050.75,1674.01,2281.37
MAP-00005,Tepetate Ternium Modelo 5,Producto de alta calidad de la marca Ternium para uso en agregados,Ternium,Agregados,Tepetate,Litro,2030.71,1570.72,2349.94
MAP-00006,Pintura DeAcero Modelo 6,Producto de alta calidad de la marca DeAcero para uso en acabados,DeAcero,Acabados,Pintura,Metro,3488.48,2912.62,3737.73
MAP-00007,Tepetate Cruz Azul Modelo 7,Producto de alta calidad de la marca Cruz Azul para uso en agregados,Cruz Azul,Agregados,Tepetate,Kg,6995.19,5593.79,8726.83
MAP-00008,Pintura DeAcero Modelo 8,Producto de alta calidad de la marca DeAcero para uso en acabados,DeAcero,Acabados,Pintura,Caja,5904.52,4845.23,6559.81
MAP-00009,Arena Holcim Modelo 9,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Arena,Galón,7221.5,5968.08,8598.24
MAP-00010,Pintura Cruz Azul Modelo 10,Producto de alta calidad de la marca Cruz Azul para uso en acabados,Cruz Azul,Acabados,Pintura,Galón,5340.41,4065.22,6555.03
MAP-00011,Grava Holcim Modelo 11,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Grava,Metro,3476.38,2895.86,4067.64
MAP-00012,Cementos DeAcero Modelo 12,Producto de alta calidad de la marca DeAcero para uso en materiales básicos,DeAcero,Materiales Básicos,Cementos,Litro,2609.4,2338.39,3149.09
MAP-00013,Pisos Holcim Modelo 13,Producto de alta calidad de la marca Holcim para uso en acabados,Holcim,Acabados,Pisos,Galón,6404.49,5511.85,6907.83
MAP-00014,Tepetate Holcim Modelo 14,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Tepetate,Galón,6111.9,5232.28,6456.63
MAP-00015,Arena Holcim Modelo 15,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Arena,Galón,2381.58,2047.65,2507.51
MAP-00016,Blocks Ternium Modelo 16,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Blocks,Saco,1482.58,1219.95,1785.34
MAP-00017,Blocks Ternium Modelo 17,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Blocks,m3,3512.57,3080.47,4260.67
MAP-00018,Grava Holcim Modelo 18,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Grava,Kg,6231.1,5186.89,6769.57
MAP-00019,Grava Cruz Azul Modelo 19,Producto de alta calidad de la marca Cruz Azul para uso en agregados,Cruz Azul,Agregados,Grava,Barra,4479.67,3608.54,5256.62
MAP-00020,Arena Ternium Modelo 20,Producto de alta calidad de la marca Ternium para uso en agregados,Ternium,Agregados,Arena,Saco,5664.7,4960.09,6559.79
MAP-00021,Azulejos Holcim Modelo 21,Producto de alta calidad de la marca Holcim para uso en acabados,Holcim,Acabados,Azulejos,Litro,740.97,630.4,859.03
MAP-00022,Grava Holcim Modelo 22,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Grava,Caja,537.57,463.68,645.28
MAP-00023,Varillas Ternium Modelo 23,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Varillas,Saco,1646.86,1255.63,1733.1
MAP-00024,Tepetate Cemex Modelo 24,Producto de alta calidad de la marca Cemex para uso en agregados,Cemex,Agregados,Tepetate,Litro,2547.5,2124.97,2690.38
MAP-00025,Pintura Ternium Modelo 25,Producto de alta calidad de la marca Ternium para uso en acabados,Ternium,Acabados,Pintura,Saco,7314.67,6161.01,8307.19
MAP-00026,Azulejos Cemex Modelo 26,Producto de alta calidad de la marca Cemex para uso en acabados,Cemex,Acabados,Azulejos,Galón,4661.38,4046.98,5373.15
MAP-00027,Azulejos Cemex Modelo 27,Producto de alta calidad de la marca Cemex para uso en acabados,Cemex,Acabados,Azulejos,Metro,4867.97,3976.56,5336.71
MAP-00028,Tepetate Ternium Modelo 28,Producto de alta calidad de la marca Ternium para uso en agregados,Ternium,Agregados,Tepetate,Saco,3112.93,2572.35,3608.16
MAP-00029,Arena DeAcero Modelo 29,Producto de alta calidad de la marca DeAcero para uso en agregados,DeAcero,Agregados,Arena,Saco,6493.04,5551.46,7442.71
MAP-00030,Azulejos DeAcero Modelo 30,Producto de alta calidad de la marca DeAcero para uso en acabados,DeAcero,Acabados,Azulejos,m2,3439.99,2631.8,3687.02
MAP-00031,Tepetate Holcim Modelo 31,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Tepetate,Saco,457.84,410.61,513.94
MAP-00032,Pisos Ternium Modelo 32,Producto de alta calidad de la marca Ternium para uso en acabados,Ternium,Acabados,Pisos,Saco,2066.83,1746.31,2398.15
MAP-00033,Tepetate Ternium Modelo 33,Producto de alta calidad de la marca Ternium para uso en agregados,Ternium,Agregados,Tepetate,Metro,2962.26,2556.58,3114.45
MAP-00034,Pintura Holcim Modelo 34,Producto de alta calidad de la marca Holcim para uso en acabados,Holcim,Acabados,Pintura,Kg,4068.37,3188.35,4652.17
MAP-00035,Arena Ternium Modelo 35,Producto de alta calidad de la marca Ternium para uso en agregados,Ternium,Agregados,Arena,Pieza,7832.54,6317.12,9678.26
MAP-00036,Arena Holcim Modelo 36,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Arena,Litro,6625.73,5353.32,7675.53
MAP-00037,Varillas Cruz Azul Modelo 37,Producto de alta calidad de la marca Cruz Azul para uso en materiales básicos,Cruz Azul,Materiales Básicos,Varillas,Pieza,466.31,366.07,505.7
MAP-00038,Varillas Ternium Modelo 38,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Varillas,m2,1601.21,1383.05,1839.45
MAP-00039,Azulejos Holcim Modelo 39,Producto de alta calidad de la marca Holcim para uso en acabados,Holcim,Acabados,Azulejos,Galón,5340.54,4215.02,5989.88
MAP-00040,Tepetate Holcim Modelo 40,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Tepetate,Galón,2324.49,2028.12,2572.68
MAP-00041,Pintura Holcim Modelo 41,Producto de alta calidad de la marca Holcim para uso en acabados,Holcim,Acabados,Pintura,m2,1960.2,1706.16,2139.02
MAP-00042,Tepetate Cemex Modelo 42,Producto de alta calidad de la marca Cemex para uso en agregados,Cemex,Agregados,Tepetate,Saco,1139.69,862.62,1338.79
MAP-00043,Blocks Cruz Azul Modelo 43,Producto de alta calidad de la marca Cruz Azul para uso en materiales básicos,Cruz Azul,Materiales Básicos,Blocks,Litro,3220.9,2483.76,3577.11
