codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
VAR-3/8-6M,"Varilla Corrugada 3/8"" x 6m",Varilla de acero corrugada #3 (3/8 pulgada) longitud 6 metros grado 42,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-3/8-6M,Pieza,45.50,41.86,52.32
VAR-1/2-6M,"Varilla Corrugada 1/2"" x 6m",Varilla de acero corrugada #4 (1/2 pulgada) longitud 6 metros grado 42,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-1/2-6M,Pieza,78.99,72.67,90.84
VAR-5/8-6M,"Varilla Corrugada 5/8"" x 6m",Varilla de acero corrugada #5 (5/8 pulgada) longitud 6 metros grado 42,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-5/8-6M,Pieza,125.75,115.69,144.61
VAR-3/4-6M,"Varilla Corrugada 3/4"" x 6m",Varilla de acero corrugada #6 (3/4 pulgada) longitud 6 metros grado 42,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-3/4-6M,Pieza,189.50,174.34,217.92
VAR-1-6M,"Varilla Corrugada 1"" x 6m",Varilla de acero corrugada #8 (1 pulgada) longitud 6 metros grado 42,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-1-6M,Pieza,335.99,309.11,386.39
VAR-1.1/4-6M,"Varilla Corrugada 1 1/4"" x 6m",Varilla de acero corrugada #10 (1 1/4 pulgada) longitud 6 metros grado 42,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-1.1/4-6M,Pieza,525.00,483.00,603.75
VAR-1.1/2-6M,"Varilla Corrugada 1 1/2"" x 6m",Varilla de acero corrugada #12 (1 1/2 pulgada) longitud 6 metros grado 42,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-1.1/2-6M,Pieza,765.50,704.26,880.32
VAR-6MM-6M,Varilla Lisa 6mm x 6m,Varilla de acero lisa 6mm longitud 6 metros para estribos,DEACERO,CONSTRUCCION,VARILLA_CORRUGADA,VAR-6MM-6M,Pieza,35.25,32.43,40.54
ANG-1x1/8,"Ángulo 1"" x 1"" x 1/8""",Ángulo de acero estructural 1x1 pulgada espesor 1/8 pulgada longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,ANG-1x1/8,Pieza,189.99,174.79,218.49
ANG-1.1/2x1/8,"Ángulo 1 1/2"" x 1 1/2"" x 1/8""",Ángulo de acero estructural 1.5x1.5 pulgada espesor 1/8 pulgada longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,ANG-1.1/2x1/8,Pieza,275.50,253.46,316.82
ANG-2x1/4,"Ángulo 2"" x 2"" x 1/4""",Ángulo de acero estructural 2x2 pulgada espesor 1/4 pulgada longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,ANG-2x1/4,Pieza,445.75,410.09,512.61
CAN-1x1,"Canal 1"" x 1""",Canal de acero estructural 1x1 pulgada calibre 16 longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,CAN-1x1,Pieza,225.00,207.00,258.75
CAN-2x1,"Canal 2"" x 1""",Canal de acero estructural 2x1 pulgada calibre 14 longitud 6m,AHMSA,CONSTRUCCION,ANGULOS_PERFILES,CAN-2x1,Pieza,345.99,318.31,397.89
