codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
HD-TAL-001,Taladro Inalámbrico 12V DEWALT,Taladro inalámbrico 12V con batería y cargador,DEWALT,HERRAMIENTAS,HERRAMIENTAS_ELECTRICAS,HD-TAL-001,Pieza,2499.00,2199.12,2798.88
HD-TAL-002,Taladro Percutor 18V MILWAUKEE,Taladro percutor 18V brushless con batería,MILWAUKEE,HERRAMIENTAS,HERRAMIENTAS_ELECTRICAS,HD-TAL-002,Pieza,3899.00,3431.12,4366.88
HD-ESM-001,"Esmeriladora Angular 4.5"" BOSCH",Esmeriladora angular 4.5 pulgadas 850W,BOSCH,HERRAMIENTAS,HERRAMIENTAS_ELECTRICAS,HD-ESM-001,Pieza,1299.00,1143.12,1454.88
HD-SIE-001,"Sierra Circular 7.25"" DEWALT",Sierra circular 7.25 pulgadas 1800W,DEWALT,HERRAMIENTAS,HERRAMIENTAS_ELECTRICAS,HD-SIE-001,Pieza,2799.00,2463.12,3134.88
HD-ROT-001,Rotomartillo SDS 26mm BOSCH,Rotomartillo SDS Plus 26mm 800W,BOSCH,HERRAMIENTAS,HERRAMIENTAS_ELECTRICAS,HD-ROT-001,Pieza,3299.00,2903.12,3694.88
HD-LIJ-001,Lijadora Orbital MAKITA,Lijadora orbital 1/4 hoja 200W,MAKITA,HERRAMIENTAS,HERRAMIENTAS_ELECTRICAS,HD-LIJ-001,Pieza,1899.00,1671.12,2126.88
HD-MAR-001,Martillo Garra 20oz STANLEY,Martillo de garra 20 oz mango fibra de vidrio,STANLEY,HERRAMIENTAS,HERRAMIENTAS_MANUALES,HD-MAR-001,Pieza,399.00,351.12,446.88
HD-JUE-001,Juego Llaves Combinadas HUSKY,Juego 14 llaves combinadas métricas 8-22mm,HUSKY,HERRAMIENTAS,HERRAMIENTAS_MANUALES,HD-JUE-001,Pieza,799.00,703.12,894.88
HD-ALI-001,Set Alicates 3 Piezas KLEIN,"Set 3 alicates: universal, punta y corte",KLEIN,HERRAMIENTAS,HERRAMIENTAS_MANUALES,HD-ALI-001,Pieza,1299.00,1143.12,1454.88
HD-DES-001,Juego Desarmadores 12 Pzs STANLEY,Juego 12 desarmadores Phillips y planos,STANLEY,HERRAMIENTAS,HERRAMIENTAS_MANUALES,HD-DES-001,Pieza,299.00,263.12,334.88
HD-CEM-001,Cemento Portland CEMEX 50kg,Cemento Portland gris tipo CPC 30R bulto 50kg,CEMEX,CONSTRUCCION,CONSTRUCCION,HD-CEM-001,Pieza,185.00,162.80,207.20
HD-VAR-001,"Varilla Corrugada 1/2"" DEACERO","Varilla corrugada #4 (1/2"") 6 metros grado 42",DEACERO,CONSTRUCCION,CONSTRUCCION,HD-VAR-001,Pieza,89.50,78.76,100.24
HD-BLO-001,Block Hueco 15cm,Block de concreto hueco 15x20x40cm,LOCAL,CONSTRUCCION,CONSTRUCCION,HD-BLO-001,Pieza,18.50,16.28,20.72
HD-LAM-001,Lámina Galvanizada Cal 26 TERNIUM,Lámina galvanizada calibre 26 1.22x2.44m,TERNIUM,CONSTRUCCION,CONSTRUCCION,HD-LAM-001,Pieza,485.00,426.80,543.20
HD-TUB-001,"Tubo PVC 4"" PAVCO",Tubo PVC sanitario 4 pulgadas 6 metros,PAVCO,CONSTRUCCION,CONSTRUCCION,HD-TUB-001,Pieza,425.00,374.00,476.00
HD-TUB-002,"Tubo Cobre 1/2"" NACOBRE",Tubo de cobre rígido 1/2 pulgada 6 metros,NACOBRE,PLOMERIA,PLOMERIA,HD-TUB-002,Pieza,285.00,250.80,319.20
HD-CON-001,"Conexión Codo PVC 90° 2""",Codo PVC 90 grados 2 pulgadas sanitario,PAVCO,PLOMERIA,PLOMERIA,HD-CON-001,Pieza,25.50,22.44,28.56
HD-LLA-001,"Llave de Paso 1/2"" FOSET",Llave de paso esférica 1/2 pulgada bronce,FOSET,PLOMERIA,PLOMERIA,HD-LLA-001,Pieza,125.00,110.00,140.00
HD-INO-001,Inodoro Una Pieza HELVEX,Inodoro una pieza Tijuana blanco,HELVEX,PLOMERIA,PLOMERIA,HD-INO-001,Pieza,3299.00,2903.12,3694.88
