codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
MAR-16G,Martillo Garra 16 oz,Martillo de garra 16 oz mango fibra de vidrio,TRUPER,HERRAMIENTAS,MARTILLOS,MAR-16G,Pieza,289.99,246.49,333.49
MAR-20G,Martillo Garra 20 oz,Martillo de garra 20 oz mango fibra de vidrio,TRUPER,HERRAMIENTAS,MARTILLOS,MAR-20G,Pieza,325.50,276.68,374.32
MAR-24G,Martillo Garra 24 oz,Martillo de garra 24 oz mango fibra de vidrio,TRUPER,HERRAMIENTAS,MARTILLOS,MAR-24G,Pieza,365.75,310.89,420.61
MAR-BG-8,Martillo Bola 8 oz,Martillo de bola 8 oz mango madera,TRUPER,HERRAMIENTAS,MARTILLOS,MAR-BG-8,Pieza,125.50,106.67,144.32
MAR-BG-12,Martillo Bola 12 oz,Martillo de bola 12 oz mango madera,TRUPER,HERRAMIENTAS,MARTILLOS,MAR-BG-12,Pieza,165.75,140.89,190.61
MAR-BG-16,Martillo Bola 16 oz,Martillo de bola 16 oz mango madera,TRUPER,HERRAMIENTAS,MARTILLOS,MAR-BG-16,Pieza,195.99,166.59,225.39
MAC-1LB,Mazo 1 libra,Mazo cabeza acero 1 libra mango hickory,TRUPER,HERRAMIENTAS,MARTILLOS,MAC-1LB,Pieza,245.50,208.67,282.32
MAC-2LB,Mazo 2 libras,Mazo cabeza acero 2 libras mango hickory,TRUPER,HERRAMIENTAS,MARTILLOS,MAC-2LB,Pieza,285.75,242.89,328.61
MAC-3LB,Mazo 3 libras,Mazo cabeza acero 3 libras mango hickory,TRUPER,HERRAMIENTAS,MARTILLOS,MAC-3LB,Pieza,325.99,277.09,374.89
MAC-5LB,Mazo 5 libras,Mazo cabeza acero 5 libras mango hickory,TRUPER,HERRAMIENTAS,MARTILLOS,MAC-5LB,Pieza,445.50,378.68,512.32
DES-PH0-3,"Desarmador Phillips #0 x 3""",Desarmador Phillips #0 x 3 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PH0-3,Pieza,25.50,21.68,29.32
DES-PH1-4,"Desarmador Phillips #1 x 4""",Desarmador Phillips #1 x 4 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PH1-4,Pieza,35.50,30.18,40.82
DES-PH2-6,"Desarmador Phillips #2 x 6""",Desarmador Phillips #2 x 6 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PH2-6,Pieza,45.50,38.67,52.32
DES-PH3-8,"Desarmador Phillips #3 x 8""",Desarmador Phillips #3 x 8 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PH3-8,Pieza,65.75,55.89,75.61
DES-PL-4,"Desarmador Plano 1/4"" x 4""",Desarmador plano 1/4 x 4 pulgadas mango bimateria,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PL-4,Pieza,32.50,27.62,37.38
DES-PL-6,"Desarmador Plano 5/16"" x 6""",Desarmador plano 5/16 x 6 pulgadas mango bimateria,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PL-6,Pieza,38.75,32.94,44.56
DES-PL-8,"Desarmador Plano 3/8"" x 8""",Desarmador plano 3/8 x 8 pulgadas mango bimateria,TRUPER,HERRAMIENTAS,DESARMADORES,DES-PL-8,Pieza,52.99,45.04,60.94
DES-TOR-T10,"Desarmador Torx T10 x 4""",Desarmador Torx T10 x 4 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-TOR-T10,Pieza,45.50,38.67,52.32
DES-TOR-T15,"Desarmador Torx T15 x 4""",Desarmador Torx T15 x 4 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-TOR-T15,Pieza,48.75,41.44,56.06
DES-TOR-T20,"Desarmador Torx T20 x 4""",Desarmador Torx T20 x 4 pulgadas punta magnética,TRUPER,HERRAMIENTAS,DESARMADORES,DES-TOR-T20,Pieza,52.00,44.20,59.80
