codigo,producto,descripcion,marca,categoria,subcategoria,unidad_medida,precio,precio_mayoreo,precio_menudeo
MAP-00001,Pintura DeAcero Modelo 1,Producto de alta calidad de la marca DeAcero para uso en acabados,DeAcero,Acabados,Pintura,Kg,5204.0,3983.17,5787.94
MAP-00002,Blocks Cemex Modelo 2,Producto de alta calidad de la marca Cemex para uso en materiales básicos,Cemex,Materiales Básicos,Blocks,Saco,2970.1,2497.25,3383.82
MAP-00003,Azulejos DeAcero Modelo 3,Producto de alta calidad de la marca DeAcero para uso en acabados,DeAcero,Acabados,Azulejos,Pieza,3741.64,3008.26,4561.6
MAP-00004,Blocks Ternium Modelo 4,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Blocks,m3,5543.99,4450.75,6802.9
MAP-00005,Cementos Ternium Modelo 5,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Cementos,m3,5905.6,4437.57,7327.9
MAP-00006,Grava Holcim Modelo 6,Producto de alta calidad de la marca Holcim para uso en agregados,Holcim,Agregados,Grava,m2,5782.5,4452.45,6967.36
MAP-00007,Tepetate DeAcero Modelo 7,Producto de alta calidad de la marca DeAcero para uso en agregados,DeAcero,Agregados,Tepetate,Barra,3379.72,2836.95,3665.91
MAP-00008,Azulejos Cruz Azul Modelo 8,Producto de alta calidad de la marca Cruz Azul para uso en acabados,Cruz Azul,Acabados,Azulejos,Galón,7691.97,6332.38,8300.1
MAP-00009,Pintura Ternium Modelo 9,Producto de alta calidad de la marca Ternium para uso en acabados,Ternium,Acabados,Pintura,Caja,1699.48,1372.17,1926.92
MAP-00010,Pintura Holcim Modelo 10,Producto de alta calidad de la marca Holcim para uso en acabados,Holcim,Acabados,Pintura,Saco,4996.21,4340.61,6099.45
MAP-00011,Cementos Ternium Modelo 11,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Cementos,m2,6075.22,5241.93,7568.59
MAP-00012,Cementos Ternium Modelo 12,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Cementos,m3,1039.12,877.95,1117.49
MAP-00013,Grava Cemex Modelo 13,Producto de alta calidad de la marca Cemex para uso en agregados,Cemex,Agregados,Grava,Saco,7509.54,5842.53,8311.95
MAP-00014,Blocks Cruz Azul Modelo 14,Producto de alta calidad de la marca Cruz Azul para uso en materiales básicos,Cruz Azul,Materiales Básicos,Blocks,m3,6643.14,5482.53,8153.6
MAP-00015,Pisos Cemex Modelo 15,Producto de alta calidad de la marca Cemex para uso en acabados,Cemex,Acabados,Pisos,Metro,7718.37,6866.78,9646.33
MAP-00016,Pintura DeAcero Modelo 16,Producto de alta calidad de la marca DeAcero para uso en acabados,DeAcero,Acabados,Pintura,m3,1905.04,1613.35,2039.41
MAP-00017,Blocks Cemex Modelo 17,Producto de alta calidad de la marca Cemex para uso en materiales básicos,Cemex,Materiales Básicos,Blocks,Caja,7904.35,7042.14,9648.31
MAP-00018,Varillas Ternium Modelo 18,Producto de alta calidad de la marca Ternium para uso en materiales básicos,Ternium,Materiales Básicos,Varillas,Kg,2336.19,1854.24,2780.98
MAP-00019,Arena Cruz Azul Modelo 19,Producto de alta calidad de la marca Cruz Azul para uso en agregados,Cruz Azul,Agregados,Arena,m3,3323.34,2700.88,3974.19
MAP-00020,Varillas Cruz Azul Modelo 20,Producto de alta calidad de la marca Cruz Azul para uso en materiales básicos,Cruz Azul,Materiales Básicos,Varillas,m3,7154.87,5855.88,8306.66
